Timestamp,capp,category,csource,ctags,jobs_completed,jobs_submitted,maps_completed,maps_launched,reduces_completed,reduces_launched
1307525857,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525867,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525877,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525887,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525897,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525907,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525917,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525927,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525937,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525947,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525957,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,2,32
1307525967,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,2,32
1307525977,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,2,32
1307525987,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,2,32
1307525997,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,5,32
1307526007,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,5,32
1307526017,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,6,32
1307526027,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,7,32
1307526037,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,9,32
1307526047,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,13,32
1307526057,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,15,32
1307526067,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,22,32
1307526077,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,24,32
1307526087,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,28,32
