Local bytes written,COUNTERS,Combine output records,Combine input records,TRACKER_NAME,csource,capp,Map output bytes,Map input records,START_TIME,FINISH_TIME,HDFS bytes read,id,ctags,TASK_STATUS,TASKID,Map input bytes,STATE_STRING,Map output records
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282830,13168,1307525435389,1307525445967,,attempt_201106081729_0001_m_000025_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000025,138632414,hdfs://sr212:9000/user/lyan/rand10/part-00061:1207959552+138648210,13168
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138290774,13184,1307525435431,1307525446577,,attempt_201106081729_0001_m_000026_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000026,138641306,hdfs://sr212:9000/user/lyan/rand10/part-00022:1207959552+138648182,13184
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138287578,13124,1307525438426,1307525445956,,attempt_201106081729_0001_m_000027_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000027,138636550,hdfs://sr212:9000/user/lyan/rand10/part-00028:1207959552+138647089,13124
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138287418,13072,1307525438485,1307525457467,,attempt_201106081729_0001_m_000028_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000028,138635334,hdfs://sr212:9000/user/lyan/rand10/part-00058:1207959552+138646813,13072
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138283677,13165,1307525438536,1307525448468,,attempt_201106081729_0001_m_000029_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000029,138634297,hdfs://sr212:9000/user/lyan/rand10/part-00020:1207959552+138646674,13165
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138293172,13072,1307525435493,1307525444432,,attempt_201106081729_0001_m_000030_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000030,138640648,hdfs://sr212:9000/user/lyan/rand10/part-00011:1207959552+138645516,13072
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138278136,13214,1307525435735,1307525451963,,attempt_201106081729_0001_m_000031_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000031,138630488,hdfs://sr212:9000/user/lyan/rand10/part-00029:1207959552+138645495,13214
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138283246,13110,1307525438629,1307525447371,,attempt_201106081729_0001_m_000032_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000032,138632706,hdfs://sr212:9000/user/lyan/rand10/part-00036:1207959552+138645482,13110
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138295650,13082,1307525435974,1307525444361,,attempt_201106081729_0001_m_000033_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000033,138644366,hdfs://sr212:9000/user/lyan/rand10/part-00040:1207959552+138645321,13082
,1,0,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138287904,13214,1307525438532,1307525446129,,attempt_201106081729_0001_m_000034_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000034,138638936,hdfs://sr212:9000/user/lyan/rand10/part-00054:1207959552+138645044,13214
