Timestamp,%util,avgrq-sz,await,capp,csource,ctags,device,r/s,rkB/s,rrqm/s,svctm,w/s,wkB/s,wrqm/s
1307525483,0.00,16.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.80,6.40,0.80
1307525483,0.00,25.14,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,1.40,17.60,3.00
1307525483,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525488,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525488,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525488,0.00,27.20,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,1.00,13.60,2.40
1307525488,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525493,0.00,56.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,0.40,11.18,2.40
1307525493,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525493,0.00,16.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,1.20,9.58,1.20
