Timestamp,capp,category,csource,ctags,hostName,shuffle_failed_outputs,shuffle_handler_busy_percent,shuffle_output_bytes,shuffle_success_outputs
1307525999,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526009,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526019,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526029,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526039,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526049,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526059,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526069,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526079,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307526089,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.shuffleOutput,sr214, cluster="chukwa",sr214,0,0,10922384768,2592
1307525439,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,0,0
1307525449,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,0,0
1307525459,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,5,77349859,16
1307525469,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,60.000004,462243112,109
1307525479,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,52.499996,1302029078,289
1307525489,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,70,2265769437,518
1307525499,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,22.5,2963306784,699
1307525509,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,7.5000005,3947288304,937
1307525519,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,52.499996,4659706099,1099
1307525529,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,20,5273063035,1251
1307525539,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,77.5,5927143095,1384
1307525549,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,17.5,6301641292,1496
1307525559,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,10,6616224316,1575
1307525569,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,27.5,6858890257,1624
1307525579,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,17.5,7560571729,1797
