Timestamp,capp,csource,ctags,device,rxkB/s,rxpck/s,txkB/s,txpck/s
1307525493,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,20.64,137.72,48.88,108.58
1307525493,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525498,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,2.05,6.60,2.05,6.60
1307525498,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,1.54,5.00,0.00,0.00
1307525498,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,31.21,208.60,99.11,172.20
1307525498,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525503,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.12,6.00,1.12,6.00
1307525503,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,1.98,5.60,0.00,0.00
1307525503,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,21.50,147.80,56.22,118.60
1307525503,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525508,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525508,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,3.15,7.80,0.00,0.00
1307525508,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.71,6.00,1.71,6.00
1307525508,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,22.43,141.00,62.98,114.20
1307525513,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,16.51,112.40,41.65,88.00
1307525513,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525513,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.27,6.00,1.27,6.00
1307525513,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,3.06,8.00,0.00,0.00
1307525518,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.05,6.00,1.05,6.00
