Timestamp,capp,category,csource,ctags,hostName,mapTaskSlots,maps_running,reduceTaskSlots,reduces_running,tasks_completed
1307525899,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525909,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525919,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525929,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525939,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525949,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525959,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525969,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525979,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525989,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525999,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307526009,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307526019,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307526029,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307526039,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307526049,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307526059,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307526069,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,3,86
1307526079,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,2,87
1307526089,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,0,89
1307525439,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,0,0
1307525449,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,0,0
1307525459,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,15,10,2,17
1307525469,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,4,20
1307525480,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,4,33
1307525493,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,4,36
1307525499,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,4,51
1307525510,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,4,51
1307525519,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,4,51
1307525529,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,4,56
1307525543,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,4,63
1307525554,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,16,10,4,63
