Local bytes written,COUNTERS,Combine output records,Combine input records,csource,capp,Map output bytes,Map input records,START_TIME,FINISH_TIME,HDFS bytes read,id,SPLITS,ctags,TASK_STATUS,TASK_TYPE,Map input bytes,Map output records
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133881621,12702,1307525497417,1307525548215,,task_201106081729_0001_m_000504,/default-rack/sr214;/default-rack/sr221;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,134220177,12702
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133881861,12810,1307525504853,1307525533343,,task_201106081729_0001_m_000505,/default-rack/sr218;/default-rack/sr222;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134221961,12810
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133887449,12675,1307525504853,1307525572433,,task_201106081729_0001_m_000506,/default-rack/sr218;/default-rack/sr222;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134224949,12675
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133872028,12733,1307525505015,1307525545049,,task_201106081729_0001_m_000507,/default-rack/sr215;/default-rack/sr221;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134211232,12733
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133878498,12726,1307525505419,1307525553349,,task_201106081729_0001_m_000508,/default-rack/sr216;/default-rack/sr214;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134216906,12726
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133892281,12692,1307525505420,1307525549699,,task_201106081729_0001_m_000509,/default-rack/sr218;/default-rack/sr214;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134230737,12692
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133867892,12753,1307525502966,1307525567964,,task_201106081729_0001_m_000510,/default-rack/sr218;/default-rack/sr215;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,134207296,12753
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133874527,12846,1307525505420,1307525536999,,task_201106081729_0001_m_000511,/default-rack/sr216;/default-rack/sr214;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134216855,12846
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133873878,12780,1307525502967,1307525542034,,task_201106081729_0001_m_000512,/default-rack/sr214;/default-rack/sr217;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134213198,12780
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133876039,12878,1307525505420,1307525556358,,task_201106081729_0001_m_000513,/default-rack/sr218;/default-rack/sr215;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134218503,12878
