Timestamp,capp,category,csource,ctags,gcCount,gcTimeMillis,hostName,memHeapCommittedM,memHeapUsedM,memNonHeapCommittedM,memNonHeapUsedM,processName,threadsBlocked,threadsNew,threadsRunnable,threadsTerminated,threadsTimedWaiting,threadsWaiting
1307526046,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",5,29,sr212,17.6875,12.05323,23.1875,15.634216,SecondaryNameNode,0,0,5,0,4,2
1307526047,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",13,251,sr212,56.625,48.96273,40.9375,18.888504,JobTracker,0,0,7,0,10,16
1307526052,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",14,115,sr212,28.25,20.705978,33.6875,17.716064,NameNode,0,0,6,0,10,43
1307526056,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",5,29,sr212,17.6875,12.054832,23.1875,15.634216,SecondaryNameNode,0,0,5,0,4,2
1307526057,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",13,251,sr212,56.625,50.05446,40.9375,18.894936,JobTracker,0,0,8,0,9,16
1307526062,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",14,115,sr212,28.25,23.476555,33.6875,17.73536,NameNode,0,0,6,0,10,43
1307526066,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",5,29,sr212,17.6875,12.056488,23.1875,15.634216,SecondaryNameNode,0,0,5,0,4,2
1307526067,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",14,252,sr212,54.25,10.7953415,40.9375,18.887634,JobTracker,0,0,7,0,11,16
1307526072,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",15,118,sr212,27.4375,7.267761,33.6875,17.739326,NameNode,0,0,6,0,10,43
1307526076,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",5,29,sr212,17.6875,12.196136,23.1875,15.635048,SecondaryNameNode,0,0,5,0,4,2
1307526077,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",14,252,sr212,54.25,12.232132,40.9375,18.932343,JobTracker,0,0,7,0,9,16
1307526082,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",15,118,sr212,27.4375,9.213806,33.6875,17.743774,NameNode,0,0,6,0,10,43
1307526086,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",5,29,sr212,17.6875,12.197739,23.1875,15.635368,SecondaryNameNode,0,0,5,0,4,2
1307526087,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",14,252,sr212,54.25,14.105522,40.9375,18.938797,JobTracker,0,0,8,0,8,16
1307526092,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",15,118,sr212,27.4375,11.185944,33.6875,17.745728,NameNode,0,0,6,0,10,43
1307525437,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525357479.log,jvm.metrics,sr214, cluster="chukwa",8,38,sr214,30.625,27.044891,23.1875,15.258545,DataNode,0,0,13,0,10,11
1307525438,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525368485.log,jvm.metrics,sr214, cluster="chukwa",9,98,sr214,56.625,15.802528,29.3125,15.60038,TaskTracker,0,0,21,0,6,71
1307525445,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525445996.log,jvm.metrics,sr214, cluster="chukwa",10,177,sr214,368.3125,318.30624,23.75,11.26236,MAP,0,0,3,0,6,3
1307525446,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525446628.log,jvm.metrics,sr214, cluster="chukwa",10,186,sr214,368.5625,315.22638,23.75,11.027016,MAP,0,0,3,0,6,3
