Timestamp,%idle,%iowait,%nice,%steal,%system,%user,capp,csource,ctags
1307525638,99.98,0.00,0.00,0.00,0.01,0.01,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525643,99.98,0.00,0.00,0.00,0.01,0.01,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525648,99.90,0.00,0.00,0.00,0.02,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525653,99.98,0.00,0.00,0.00,0.01,0.01,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525658,99.94,0.00,0.00,0.00,0.01,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525663,99.96,0.00,0.00,0.00,0.02,0.01,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525668,99.76,0.01,0.00,0.00,0.01,0.21,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525673,99.89,0.05,0.00,0.00,0.01,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525678,99.86,0.06,0.00,0.00,0.02,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525683,99.86,0.00,0.00,0.00,0.04,0.10,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525688,99.90,0.00,0.00,0.00,0.01,0.09,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525693,99.90,0.00,0.00,0.00,0.04,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525698,99.91,0.00,0.00,0.00,0.02,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525703,99.31,0.01,0.00,0.00,0.05,0.62,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525708,99.94,0.00,0.00,0.00,0.02,0.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525713,99.93,0.01,0.00,0.00,0.02,0.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525718,99.89,0.00,0.00,0.00,0.05,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525723,99.93,0.00,0.00,0.00,0.02,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525728,99.88,0.00,0.00,0.00,0.01,0.11,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525733,99.91,0.00,0.00,0.00,0.02,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525738,99.93,0.01,0.00,0.00,0.04,0.02,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525743,99.76,0.00,0.00,0.00,0.05,0.19,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525748,99.94,0.00,0.00,0.00,0.01,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525753,99.93,0.00,0.00,0.00,0.04,0.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525758,99.94,0.00,0.00,0.00,0.02,0.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525763,99.95,0.00,0.00,0.00,0.01,0.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525768,99.90,0.00,0.00,0.00,0.04,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525773,99.93,0.00,0.00,0.00,0.02,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525778,99.89,0.00,0.00,0.00,0.00,0.11,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525783,99.94,0.00,0.00,0.00,0.02,0.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525788,99.85,0.00,0.00,0.00,0.04,0.11,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525793,99.89,0.00,0.00,0.00,0.01,0.10,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525798,99.78,0.00,0.00,0.00,0.06,0.16,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525803,99.90,0.00,0.00,0.00,0.01,0.09,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
